"filename", "language", "Aoe2 AiScript", "comment", "blank", "total"
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Saracens\Loads.per", "Aoe2 AiScript", 1, -1, 0, 0
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Teutons\Loads.per", "Aoe2 AiScript", 25, 4, 4, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Turks\Loads.per", "Aoe2 AiScript", 10, 2, 0, 12
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Vikings\Loads.per", "Aoe2 AiScript", 20, 1, 3, 24
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Buildings.per", "Aoe2 AiScript", 1, 0, 0, 1
"Total", "-", 57, 6, 7, 70
