"filename", "language", "Aoe2 AiScript", "comment", "blank", "total"
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts and Cavalry Archers\Buildings.per", "Aoe2 AiScript", 107, 8, 18, 133
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts and Cavalry Archers\Escrow.per", "Aoe2 AiScript", 14, 0, 1, 15
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts and Cavalry Archers\Research.per", "Aoe2 AiScript", 273, 10, 37, 320
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts and Cavalry Archers\Units.per", "Aoe2 AiScript", 16, 0, 1, 17
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts and Cavalry Archers\Villager Distribution.per", "Aoe2 AiScript", 179, 0, 17, 196
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Attack.per", "Aoe2 AiScript", 42, 0, 4, 46
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Buildings.per", "Aoe2 AiScript", 87, 8, 16, 111
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Escrow.per", "Aoe2 AiScript", 14, 0, 1, 15
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Research.per", "Aoe2 AiScript", 203, 10, 30, 243
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Units.per", "Aoe2 AiScript", 22, 0, 2, 24
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Scouts into Knights\Villager Distribution.per", "Aoe2 AiScript", 175, 0, 17, 192
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Attack-now.per", "Aoe2 AiScript", 27, 0, 2, 29
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Buildings.per", "Aoe2 AiScript", 212, 15, 38, 265
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Market.per", "Aoe2 AiScript", 59, 1, 11, 71
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Research.per", "Aoe2 AiScript", 846, 28, 135, 1009
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Units.per", "Aoe2 AiScript", 194, 3, 29, 226
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Spearmen and Skirm Rush\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Attack-now.per", "Aoe2 AiScript", 41, 0, 4, 45
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Buildings.per", "Aoe2 AiScript", 208, 16, 38, 262
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Escrow.per", "Aoe2 AiScript", 18, 0, 2, 20
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Market.per", "Aoe2 AiScript", 43, 1, 9, 53
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Research.per", "Aoe2 AiScript", 308, 13, 51, 372
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Units.per", "Aoe2 AiScript", 188, 3, 31, 222
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Straight Archers\Villager Distribution.per", "Aoe2 AiScript", 196, 0, 23, 219
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Attack-now.per", "Aoe2 AiScript", 9, 0, 0, 9
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Buildings.per", "Aoe2 AiScript", 247, 16, 43, 306
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Market.per", "Aoe2 AiScript", 65, 1, 12, 78
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Research.per", "Aoe2 AiScript", 687, 22, 110, 819
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Units.per", "Aoe2 AiScript", 152, 3, 24, 179
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Surprise Light Cav\Villager Distribution.per", "Aoe2 AiScript", 219, 0, 28, 247
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Taunts.per", "Aoe2 AiScript", 134, 0, 18, 152
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Buildings.per", "Aoe2 AiScript", 198, 15, 39, 252
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Expansion.per", "Aoe2 AiScript", 217, 0, 28, 245
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Loads.per", "Aoe2 AiScript", 7, 0, 1, 8
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Market.per", "Aoe2 AiScript", 14, 1, 7, 22
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Research.per", "Aoe2 AiScript", 862, 27, 136, 1025
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Units.per", "Aoe2 AiScript", 120, 2, 23, 145
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\The Peasant\Villager Distribution.per", "Aoe2 AiScript", 64, 0, 8, 72
"Total", "-", 31442, 847, 4646, 36935
